p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,groundtruth
2.0,1.25,0.75,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.014444444444444444,0.06666666666666667,0.19555555555555557,0.7211111111111111,2.2,1.4,1.0,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0038095238095238095,0.012380952380952381,0.07238095238095238,0.2123809523809524,0.699047619047619,2.375,1.375,1.125,2.125,0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,0.016666666666666666,0.08166666666666667,0.23916666666666667,0.6566666666666666,2.375,1.375,1.125,2.125,0,0.0,0.0,0.0,0.0,0.0,0.005185185185185185,0.014814814814814815,0.08148148148148149,0.2548148148148148,0.6437037037037037,2.4444444444444446,1.5555555555555556,1.3333333333333333,2.2222222222222223,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.015333333333333332,0.08133333333333333,0.26266666666666666,0.6353333333333333,2.75,1.8333333333333333,1.4166666666666667,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0006060606060606061,0.006666666666666667,0.01696969696969697,0.09454545454545454,0.25515151515151513,0.6260606060606061,3.3157894736842106,2.1578947368421053,1.736842105263158,2.8947368421052633,0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.008333333333333333,0.025,0.10444444444444445,0.2633333333333333,0.5966666666666667,0:00:00.331000
2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.017777777777777778,0.07222222222222222,0.1988888888888889,0.7077777777777777,2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.015238095238095238,0.07238095238095238,0.1980952380952381,0.7114285714285714,2.5714285714285716,1.2857142857142858,1.0,2.2857142857142856,0,0.0,0.0,0.0,0.0,0.0,0.005,0.016666666666666666,0.07833333333333334,0.22833333333333333,0.6716666666666666,2.5555555555555554,1.3333333333333333,1.1111111111111112,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.005925925925925926,0.017037037037037038,0.08074074074074074,0.23851851851851852,0.6577777777777778,2.5555555555555554,1.3333333333333333,1.1111111111111112,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.015333333333333332,0.076,0.252,0.6513333333333333,2.6666666666666665,1.6666666666666667,1.3333333333333333,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.01818181818181818,0.08787878787878788,0.2581818181818182,0.6296969696969696,3.3333333333333335,1.9333333333333333,1.6,3.0,0,0.0,0.0,0.0,0.0,0.0005555555555555556,0.0077777777777777776,0.020555555555555556,0.09333333333333334,0.25555555555555554,0.6222222222222222,0:00:00.538000
2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.014444444444444444,0.05,0.1688888888888889,0.7633333333333333,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.01619047619047619,0.058095238095238096,0.1742857142857143,0.7485714285714286,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0025,0.015,0.0625,0.18166666666666667,0.7383333333333333,2.2857142857142856,1.2857142857142858,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.013333333333333334,0.0674074074074074,0.1962962962962963,0.7192592592592593,2.4,1.3,1.1,2.2,0,0.0,0.0,0.0,0.0,0.0,0.005333333333333333,0.016666666666666666,0.07533333333333334,0.21933333333333332,0.6833333333333333,2.4,1.3,1.1,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0048484848484848485,0.015151515151515152,0.07333333333333333,0.23454545454545456,0.6721212121212121,2.4545454545454546,1.4545454545454546,1.2727272727272727,2.272727272727273,0,0.0,0.0,0.0,0.0,0.0,0.005,0.015555555555555555,0.07388888888888889,0.2427777777777778,0.6627777777777778,0:00:00.358000
2.3333333333333335,1.3333333333333333,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.015555555555555555,0.043333333333333335,0.14888888888888888,0.7911111111111111,2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.014285714285714285,0.04857142857142857,0.15904761904761905,0.7752380952380953,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0025,0.015833333333333335,0.058333333333333334,0.17166666666666666,0.7516666666666667,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.014814814814814815,0.0637037037037037,0.17703703703703705,0.7422222222222222,2.2857142857142856,1.2857142857142858,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.014,0.068,0.19533333333333333,0.7193333333333334,2.4,1.3,1.1,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0048484848484848485,0.016363636363636365,0.07333333333333333,0.2109090909090909,0.6945454545454546,2.4,1.3,1.1,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.015,0.07,0.225,0.6855555555555556,0:00:00.398000
2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.013333333333333334,0.042222222222222223,0.14777777777777779,0.7955555555555556,2.3333333333333335,1.3333333333333333,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.013333333333333334,0.04380952380952381,0.14666666666666667,0.7952380952380952,2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0125,0.04833333333333333,0.15583333333333332,0.7808333333333334,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.014074074074074074,0.05703703703703704,0.1674074074074074,0.7592592592592593,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.002,0.013333333333333334,0.062,0.17266666666666666,0.75,2.2857142857142856,1.2857142857142858,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0030303030303030303,0.012727272727272728,0.06606060606060606,0.1896969696969697,0.7284848484848485,2.4,1.3,1.1,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.015,0.07111111111111111,0.20444444444444446,0.705,0:00:00.381000
2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.017777777777777778,0.05333333333333334,0.15333333333333332,0.7744444444444445,2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.01619047619047619,0.047619047619047616,0.15047619047619049,0.7847619047619048,2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.015833333333333335,0.0475,0.15083333333333335,0.785,2.3333333333333335,1.3333333333333333,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0007407407407407407,0.014814814814814815,0.05037037037037037,0.16148148148148148,0.7725925925925926,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.002,0.016666666666666666,0.054,0.15733333333333333,0.77,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.01575757575757576,0.06060606060606061,0.1715151515151515,0.7503030303030302,2.2857142857142856,1.2857142857142858,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.014444444444444444,0.065,0.1811111111111111,0.7366666666666667,0:00:00.324000
1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.042222222222222223,0.13777777777777778,0.81,2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.012380952380952381,0.049523809523809526,0.14761904761904762,0.7895238095238095,2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.013333333333333334,0.04833333333333333,0.15666666666666668,0.7808333333333334,2.5,1.0,1.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0007407407407407407,0.013333333333333334,0.044444444444444446,0.15333333333333332,0.7881481481481482,2.3333333333333335,1.3333333333333333,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.013333333333333334,0.04533333333333334,0.152,0.7886666666666666,2.4,1.2,0.8,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.012727272727272728,0.048484848484848485,0.15818181818181817,0.7787878787878788,2.1666666666666665,1.1666666666666667,0.8333333333333334,1.8333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.013888888888888888,0.055,0.16666666666666666,0.7627777777777778,0:00:00.301000
3.0,2.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.01,0.04888888888888889,0.14666666666666667,0.7933333333333333,2.0,1.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.010476190476190476,0.049523809523809526,0.15428571428571428,0.7847619047619048,2.6666666666666665,1.3333333333333333,1.0,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.014166666666666666,0.05416666666666667,0.1575,0.7725,2.6666666666666665,1.3333333333333333,1.0,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.0014814814814814814,0.012592592592592593,0.04962962962962963,0.15703703703703703,0.7792592592592592,2.6666666666666665,1.3333333333333333,1.0,2.3333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333333,0.013333333333333334,0.048,0.15733333333333333,0.78,2.5,1.5,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0012121212121212121,0.012727272727272728,0.04727272727272727,0.16,0.7787878787878788,2.2857142857142856,1.2857142857142858,0.8571428571428571,1.8571428571428572,0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.014444444444444444,0.05444444444444444,0.1638888888888889,0.765,0:00:00.415000
2.5,2.0,1.5,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.01,0.052222222222222225,0.18666666666666668,0.75,2.5,2.0,1.5,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0009523809523809524,0.010476190476190476,0.049523809523809526,0.17047619047619048,0.7685714285714286,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.01,0.04666666666666667,0.16083333333333333,0.7816666666666666,2.5,1.5,1.25,2.25,0,0.0,0.0,0.0,0.0,0.0,0.0014814814814814814,0.011851851851851851,0.05037037037037037,0.16518518518518518,0.7711111111111111,2.5,1.5,1.25,2.25,0,0.0,0.0,0.0,0.0,0.0,0.0013333333333333333,0.012666666666666666,0.05,0.17066666666666666,0.7653333333333333,2.5,1.5,1.25,2.25,0,0.0,0.0,0.0,0.0,0.0,0.0012121212121212121,0.012121212121212121,0.04727272727272727,0.16727272727272727,0.7721212121212121,2.4,1.6,1.2,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.012777777777777779,0.04777777777777778,0.16444444444444445,0.7738888888888888,0:00:00.316000
2.4,2.2,1.2,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.014444444444444444,0.05444444444444444,0.19,0.7388888888888889,2.4,2.2,1.2,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0019047619047619048,0.012380952380952381,0.049523809523809526,0.1819047619047619,0.7542857142857143,2.4,2.2,1.2,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0125,0.04833333333333333,0.16666666666666666,0.7708333333333334,2.1666666666666665,2.0,1.1666666666666667,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0014814814814814814,0.012592592592592593,0.04888888888888889,0.16962962962962963,0.7674074074074074,2.4285714285714284,1.8571428571428572,1.1428571428571428,1.7142857142857142,0,0.0,0.0,0.0,0.0,0.0,0.002,0.015333333333333332,0.05266666666666667,0.17066666666666666,0.7593333333333333,2.4285714285714284,1.8571428571428572,1.1428571428571428,1.7142857142857142,0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.013939393939393939,0.04909090909090909,0.1690909090909091,0.7660606060606061,2.4285714285714284,1.8571428571428572,1.1428571428571428,1.7142857142857142,0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.014444444444444444,0.04777777777777778,0.16833333333333333,0.7677777777777778,0:00:00.427000
